name,label
1191,Aspirin
29046,Lisinopril
235743,Metformin
83367,Atorvastatin
153165,Atorvastatin brand: Lipitor
1991307,Semaglutide brand Ozempic
135446,Donepezil brand Aricept
405206,Memantine brand Namenda
40048,Carboplatin — Balkan arm
56946,Paclitaxel
1547545,Pembrolizumab Keytruda
84857,Anastrozole
31498,Leuprolide GnRH agonist
2555,Cisplatin
72783,Letrozole
6313,Leucovorin folinic acid FOLFOX component
46143,Fluorouracil 5-FU
39785,Gemcitabine
10324,Tamoxifen
77991,Oxaliplatin FOLFOX component
3002,Cyclophosphamide
3181,Doxorubicin
213050,Trastuzumab Herceptin
1547566,Nivolumab brand Opdivo
1860487,Durvalumab Imfinzi
